asset_id,asset_type,room_id,room_name,category,tier,component_id,component_name,component_kind,state_key,priority,prompt
basic_hull_t1__inspection_access_panel__cooldown,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,inspection_access_panel,Inspection Access Panel,interactive,cooldown,p1,"Using the attached style reference and matching the base component exactly, create state variant 'cooldown' for component 'Inspection Access Panel' in 'Basic Hull Plating Module'. Change only state cues: reduced glow with cooling/venting cues and amber warning flicker. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__inspection_access_panel__damaged,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,inspection_access_panel,Inspection Access Panel,interactive,damaged,p1,"Using the attached style reference and matching the base component exactly, create state variant 'damaged' for component 'Inspection Access Panel' in 'Basic Hull Plating Module'. Change only state cues: visible wear, sparks or cracks, warning lights and degraded output. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__inspection_access_panel__depleted,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,inspection_access_panel,Inspection Access Panel,interactive,depleted,p1,"Using the attached style reference and matching the base component exactly, create state variant 'depleted' for component 'Inspection Access Panel' in 'Basic Hull Plating Module'. Change only state cues: minimal or no glow, offline indicators, depleted resource cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__inspection_access_panel__idle,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,inspection_access_panel,Inspection Access Panel,interactive,idle,p1,"Using the attached style reference and matching the base component exactly, create state variant 'idle' for component 'Inspection Access Panel' in 'Basic Hull Plating Module'. Change only state cues: stable indicator lights, neutral glow, no motion cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__room_composite__v1,room_composite,basic_hull_t1,Basic Hull Plating Module,hull,1,room_composite,Room Composite,composite,base,p0,"Using the attached style reference, compose one 2:1 spacecraft room tile for 'Basic Hull Plating Module' using these components: layered_armour_wall, reinforcement_struts, inspection_access_panel, damage_indicator_strip. Keep module shell rectangular with flat top/bottom for stacking. Include only listed components and consistent accent lighting. No text, no labels, no UI, no rocket exterior. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__holographic_star_map_emitter__base,component,basic_nav_t1,Basic Navigation Room,navigation,1,holographic_star_map_emitter,Holographic Star Map Emitter,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Holographic Star Map Emitter. Category: Basic Navigation Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__manual_flight_controls__base,component,basic_nav_t1,Basic Navigation Room,navigation,1,manual_flight_controls,Manual Flight Controls,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Manual Flight Controls. Category: Basic Navigation Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__nav_console_station__base,component,basic_nav_t1,Basic Navigation Room,navigation,1,nav_console_station,nav console station,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: nav_console_station. Category: Basic Navigation Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__radar_sweep_display__base,component,basic_nav_t1,Basic Navigation Room,navigation,1,radar_sweep_display,Radar Sweep Display,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Radar Sweep Display. Category: Basic Navigation Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__viewport_frame_right__base,component,basic_nav_t1,Basic Navigation Room,navigation,1,viewport_frame_right,viewport frame right,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: viewport_frame_right. Category: Basic Navigation Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__holographic_star_map_emitter__active,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,holographic_star_map_emitter,Holographic Star Map Emitter,interactive,active,p1,"Using the attached style reference and matching the base component exactly, create state variant 'active' for component 'Holographic Star Map Emitter' in 'Basic Navigation Room'. Change only state cues: brighter active glow, subtle motion/energy cues, engaged indicators. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__holographic_star_map_emitter__cooldown,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,holographic_star_map_emitter,Holographic Star Map Emitter,interactive,cooldown,p1,"Using the attached style reference and matching the base component exactly, create state variant 'cooldown' for component 'Holographic Star Map Emitter' in 'Basic Navigation Room'. Change only state cues: reduced glow with cooling/venting cues and amber warning flicker. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__holographic_star_map_emitter__damaged,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,holographic_star_map_emitter,Holographic Star Map Emitter,interactive,damaged,p1,"Using the attached style reference and matching the base component exactly, create state variant 'damaged' for component 'Holographic Star Map Emitter' in 'Basic Navigation Room'. Change only state cues: visible wear, sparks or cracks, warning lights and degraded output. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__holographic_star_map_emitter__depleted,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,holographic_star_map_emitter,Holographic Star Map Emitter,interactive,depleted,p1,"Using the attached style reference and matching the base component exactly, create state variant 'depleted' for component 'Holographic Star Map Emitter' in 'Basic Navigation Room'. Change only state cues: minimal or no glow, offline indicators, depleted resource cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__holographic_star_map_emitter__idle,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,holographic_star_map_emitter,Holographic Star Map Emitter,interactive,idle,p1,"Using the attached style reference and matching the base component exactly, create state variant 'idle' for component 'Holographic Star Map Emitter' in 'Basic Navigation Room'. Change only state cues: stable indicator lights, neutral glow, no motion cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__manual_flight_controls__active,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,manual_flight_controls,Manual Flight Controls,interactive,active,p1,"Using the attached style reference and matching the base component exactly, create state variant 'active' for component 'Manual Flight Controls' in 'Basic Navigation Room'. Change only state cues: brighter active glow, subtle motion/energy cues, engaged indicators. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__manual_flight_controls__cooldown,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,manual_flight_controls,Manual Flight Controls,interactive,cooldown,p1,"Using the attached style reference and matching the base component exactly, create state variant 'cooldown' for component 'Manual Flight Controls' in 'Basic Navigation Room'. Change only state cues: reduced glow with cooling/venting cues and amber warning flicker. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__manual_flight_controls__damaged,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,manual_flight_controls,Manual Flight Controls,interactive,damaged,p1,"Using the attached style reference and matching the base component exactly, create state variant 'damaged' for component 'Manual Flight Controls' in 'Basic Navigation Room'. Change only state cues: visible wear, sparks or cracks, warning lights and degraded output. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__manual_flight_controls__depleted,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,manual_flight_controls,Manual Flight Controls,interactive,depleted,p1,"Using the attached style reference and matching the base component exactly, create state variant 'depleted' for component 'Manual Flight Controls' in 'Basic Navigation Room'. Change only state cues: minimal or no glow, offline indicators, depleted resource cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__manual_flight_controls__idle,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,manual_flight_controls,Manual Flight Controls,interactive,idle,p1,"Using the attached style reference and matching the base component exactly, create state variant 'idle' for component 'Manual Flight Controls' in 'Basic Navigation Room'. Change only state cues: stable indicator lights, neutral glow, no motion cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__radar_sweep_display__active,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,radar_sweep_display,Radar Sweep Display,interactive,active,p1,"Using the attached style reference and matching the base component exactly, create state variant 'active' for component 'Radar Sweep Display' in 'Basic Navigation Room'. Change only state cues: brighter active glow, subtle motion/energy cues, engaged indicators. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__radar_sweep_display__cooldown,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,radar_sweep_display,Radar Sweep Display,interactive,cooldown,p1,"Using the attached style reference and matching the base component exactly, create state variant 'cooldown' for component 'Radar Sweep Display' in 'Basic Navigation Room'. Change only state cues: reduced glow with cooling/venting cues and amber warning flicker. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__radar_sweep_display__damaged,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,radar_sweep_display,Radar Sweep Display,interactive,damaged,p1,"Using the attached style reference and matching the base component exactly, create state variant 'damaged' for component 'Radar Sweep Display' in 'Basic Navigation Room'. Change only state cues: visible wear, sparks or cracks, warning lights and degraded output. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__radar_sweep_display__depleted,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,radar_sweep_display,Radar Sweep Display,interactive,depleted,p1,"Using the attached style reference and matching the base component exactly, create state variant 'depleted' for component 'Radar Sweep Display' in 'Basic Navigation Room'. Change only state cues: minimal or no glow, offline indicators, depleted resource cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__radar_sweep_display__idle,state_variant,basic_nav_t1,Basic Navigation Room,navigation,1,radar_sweep_display,Radar Sweep Display,interactive,idle,p1,"Using the attached style reference and matching the base component exactly, create state variant 'idle' for component 'Radar Sweep Display' in 'Basic Navigation Room'. Change only state cues: stable indicator lights, neutral glow, no motion cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_nav_t1__room_composite__v1,room_composite,basic_nav_t1,Basic Navigation Room,navigation,1,room_composite,Room Composite,composite,base,p0,"Using the attached style reference, compose one 2:1 spacecraft room tile for 'Basic Navigation Room' using these components: nav_console_station, viewport_frame_right, holographic_star_map_emitter, radar_sweep_display, manual_flight_controls. Keep module shell rectangular with flat top/bottom for stacking. Include only listed components and consistent accent lighting. No text, no labels, no UI, no rocket exterior. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__fuel_pipe_network__base,component,basic_thruster_t1,Basic Thruster Room,propulsion,1,fuel_pipe_network,fuel pipe network,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: fuel_pipe_network. Category: Basic Thruster Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__right_wall_nozzle_mount__base,component,basic_thruster_t1,Basic Thruster Room,propulsion,1,right_wall_nozzle_mount,right wall nozzle mount,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: right_wall_nozzle_mount. Category: Basic Thruster Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__base,component,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Rocket Nozzle Assembly. Category: Basic Thruster Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__thrust_control_panel_2dial__base,component,basic_thruster_t1,Basic Thruster Room,propulsion,1,thrust_control_panel_2dial,2-Dial Thrust Control Panel,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: 2-Dial Thrust Control Panel. Category: Basic Thruster Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__worn_metal_paneling__base,component,basic_thruster_t1,Basic Thruster Room,propulsion,1,worn_metal_paneling,worn metal paneling,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: worn_metal_paneling. Category: Basic Thruster Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__active,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,active,p1,"Using the attached style reference and matching the base component exactly, create state variant 'active' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: brighter active glow, subtle motion/energy cues, engaged indicators. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__cooldown,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,cooldown,p1,"Using the attached style reference and matching the base component exactly, create state variant 'cooldown' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: reduced glow with cooling/venting cues and amber warning flicker. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__damaged,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,damaged,p1,"Using the attached style reference and matching the base component exactly, create state variant 'damaged' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: visible wear, sparks or cracks, warning lights and degraded output. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__depleted,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,depleted,p1,"Using the attached style reference and matching the base component exactly, create state variant 'depleted' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: minimal or no glow, offline indicators, depleted resource cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__rocket_nozzle_assembly__idle,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,rocket_nozzle_assembly,Rocket Nozzle Assembly,interactive,idle,p1,"Using the attached style reference and matching the base component exactly, create state variant 'idle' for component 'Rocket Nozzle Assembly' in 'Basic Thruster Room'. Change only state cues: stable indicator lights, neutral glow, no motion cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__thrust_control_panel_2dial__active,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,thrust_control_panel_2dial,2-Dial Thrust Control Panel,interactive,active,p1,"Using the attached style reference and matching the base component exactly, create state variant 'active' for component '2-Dial Thrust Control Panel' in 'Basic Thruster Room'. Change only state cues: brighter active glow, subtle motion/energy cues, engaged indicators. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__thrust_control_panel_2dial__cooldown,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,thrust_control_panel_2dial,2-Dial Thrust Control Panel,interactive,cooldown,p1,"Using the attached style reference and matching the base component exactly, create state variant 'cooldown' for component '2-Dial Thrust Control Panel' in 'Basic Thruster Room'. Change only state cues: reduced glow with cooling/venting cues and amber warning flicker. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__thrust_control_panel_2dial__damaged,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,thrust_control_panel_2dial,2-Dial Thrust Control Panel,interactive,damaged,p1,"Using the attached style reference and matching the base component exactly, create state variant 'damaged' for component '2-Dial Thrust Control Panel' in 'Basic Thruster Room'. Change only state cues: visible wear, sparks or cracks, warning lights and degraded output. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__thrust_control_panel_2dial__depleted,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,thrust_control_panel_2dial,2-Dial Thrust Control Panel,interactive,depleted,p1,"Using the attached style reference and matching the base component exactly, create state variant 'depleted' for component '2-Dial Thrust Control Panel' in 'Basic Thruster Room'. Change only state cues: minimal or no glow, offline indicators, depleted resource cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__thrust_control_panel_2dial__idle,state_variant,basic_thruster_t1,Basic Thruster Room,propulsion,1,thrust_control_panel_2dial,2-Dial Thrust Control Panel,interactive,idle,p1,"Using the attached style reference and matching the base component exactly, create state variant 'idle' for component '2-Dial Thrust Control Panel' in 'Basic Thruster Room'. Change only state cues: stable indicator lights, neutral glow, no motion cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_thruster_t1__room_composite__v1,room_composite,basic_thruster_t1,Basic Thruster Room,propulsion,1,room_composite,Room Composite,composite,base,p0,"Using the attached style reference, compose one 2:1 spacecraft room tile for 'Basic Thruster Room' using these components: right_wall_nozzle_mount, fuel_pipe_network, worn_metal_paneling, rocket_nozzle_assembly, thrust_control_panel_2dial. Keep module shell rectangular with flat top/bottom for stacking. Include only listed components and consistent accent lighting. No text, no labels, no UI, no rocket exterior. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
broadcast_array_t2__directional_control_joystick__base,component,broadcast_array_t2,Broadcast Array Room,communication,2,directional_control_joystick,Directional Control Joystick,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Directional Control Joystick. Category: Broadcast Array Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
broadcast_array_t2__phased_array_schematic_display__base,component,broadcast_array_t2,Broadcast Array Room,communication,2,phased_array_schematic_display,Phased-Array Schematic Display,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Phased-Array Schematic Display. Category: Broadcast Array Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
broadcast_array_t2__rack_bay_frame__base,component,broadcast_array_t2,Broadcast Array Room,communication,2,rack_bay_frame,rack bay frame,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: rack_bay_frame. Category: Broadcast Array Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
broadcast_array_t2__signal_processing_rack__base,component,broadcast_array_t2,Broadcast Array Room,communication,2,signal_processing_rack,Signal Processing Rack,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Signal Processing Rack. Category: Broadcast Array Room. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
